Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	1
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	1
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Bartonella_quintana_RM-11	2
Blastomyces_dermatitidis	0
Bordetella_bronchialis	11
Bordetella_bronchiseptica	10
Bordetella_genomosp._13	20
Bordetella_pertussis	4
Bordetella_petrii	13
Bordetella_trematum	8
Borrelia_crocidurae	1
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	0
Burkholderia_cepacia	3192
Burkholderia_cepacia_ATCC_25416	1615
Burkholderia_cepacia_JBK9	1587
Burkholderia_gladioli	1252
Burkholderia_gladioli_BSR3	312
Burkholderia_gladioli_pv._gladioli	800
Burkholderia_mallei	27
Burkholderia_mallei_NCTC_10229	4
Burkholderia_mallei_NCTC_10247	13
Burkholderia_multivorans	7416
Burkholderia_multivorans_ATCC_17616	2308
Burkholderia_multivorans_ATCC_BAA-247	2260
Burkholderia_pseudomallei	2042
Burkholderia_pseudomallei_1106b	25
Burkholderia_pseudomallei_1710a	5
Burkholderia_pseudomallei_1710b	4
Burkholderia_pseudomallei_7894	93
Burkholderia_pseudomallei_B03	17
Burkholderia_pseudomallei_MSHR1153	25
Burkholderia_pseudomallei_MSHR2543	33
Burkholderia_pseudomallei_MSHR346	176
Burkholderia_pseudomallei_MSHR435	30
Burkholderia_pseudomallei_NCTC_13179	30
Burkholderia_pseudomallei_Pasteur_52237	9
Campylobacter_coli	0
Campylobacter_coli_RM1875	1
Campylobacter_fetus	0
Campylobacter_fetus_subsp._testudinum	1
Campylobacter_gracilis	0
Campylobacter_showae	0
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	1
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	4
Corynebacterium_bovis	4
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	0
Corynebacterium_jeikeium	1
Corynebacterium_jeikeium_K411	3
Corynebacterium_kroppenstedtii	7
Corynebacterium_kroppenstedtii_DSM_44385	2
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	3
Corynebacterium_matruchotii	2
Corynebacterium_minutissimum	2
Corynebacterium_pseudotuberculosis	2
Corynebacterium_renale	1
Corynebacterium_segmentosum	18
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	1
Corynebacterium_stationis	0
Corynebacterium_striatum	1
Corynebacterium_urealyticum	1
Corynebacterium_ureicelerivorans	7
Corynebacterium_xerosis	2
Cowpox_virus	0
Coxiella_burnetii	0
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	1
Enterococcus_casseliflavus	2
Enterococcus_cecorum	13
Enterococcus_durans	1
Enterococcus_faecalis	1
Enterococcus_faecium	4
Enterococcus_hirae	1
Enterococcus_mundtii	1
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	1
Erythroparvovirus	0
Escherichia_coli	11
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	2
Fusobacterium_hwasookii_ChDC_F206	2
Fusobacterium_necrophorum_subsp._necrophorum	1
Fusobacterium_nucleatum	0
Fusobacterium_nucleatum_subsp._vincentii	1
Fusobacterium_varium_ATCC_27725	1
Goatpox_virus	0
Haemophilus_influenzae	2
Haemophilus_influenzae_F3047	1
Haemophilus_influenzae_KR494	1
Helicobacter_cinaedi	0
Helicobacter_pylori	7
Helicobacter_pylori_PeCan4	2
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	3
Klebsiella_michiganensis	3
Klebsiella_oxytoca	1
Klebsiella_pneumoniae	13
Klebsiella_pneumoniae_subsp._pneumoniae	1
Klebsiella_pneumoniae_subsp._rhinoscleromatis	2
Legionella_anisa	25
Legionella_lansingensis	2
Legionella_pneumophila	21
Legionella_pneumophila_str._Corby	2
Legionella_pneumophila_subsp._fraseri	7
Legionella_pneumophila_subsp._pascullei	6
Legionella_pneumophila_subsp._pneumophila	5
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	1
Leptospira_alexanderi	0
Leptospira_alstonii	0
Leptospira_biflexa	0
Leptospira_biflexa_serovar_Patoc	1
Leptospira_borgpetersenii	0
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	0
Leptospira_interrogans_serovar_Icterohaemorrhagiae	1
Leptospira_kirschneri	0
Leptospira_kmetyi	0
Leptospira_licerasiae	0
Leptospira_noguchii	0
Leptospira_santarosai	0
Leptospira_weilii	4
Leptospira_wolffii	0
Listeria_monocytogenes	1
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	0
Mannheimia_haemolytica_D153	1
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	0
Moraxella_catarrhalis_BBH18	2
Morbillivirus	0
Mycobacterium_avium	7
Mycobacterium_avium_subsp._hominissuis	5
Mycobacterium_avium_subsp._paratuberculosis	1
Mycobacterium_canettii	5
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	3
Mycobacterium_intracellulare	6
Mycobacterium_intracellulare_subsp._yongonense	1
Mycobacterium_kansasii	2
Mycobacterium_leprae	0
Mycobacterium_leprae_Kyoto-2	1
Mycobacterium_marseillense	0
Mycobacterium_sp._JS623	2
Mycobacterium_sp._YC-RL4	7
Mycobacterium_tuberculosis	2
Mycobacterium_tuberculosis_complex	1
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	2
Mycobacteroides_abscessus_subsp._bolletii_50594	1
Mycoplasma_haemocanis	0
Mycoplasma_haemofelis	0
Mycoplasma_mycoides	0
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	0
Neisseria_elongata	0
Neisseria_gonorrhoeae	0
Neisseria_gonorrhoeae_NG-k51.05	2
Neisseria_meningitidis	11
Neisseria_meningitidis_serogroup_B	1
Neisseria_mucosa	3
Neisseria_sicca	1
Neisseria_subflava	1
Neisseria_weaveri	0
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	2
Pasteurella_multocida	1
Pasteurella_multocida_subsp._multocida	2
Pasteurella_multocida_subsp._multocida_OH4807	2
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	3
Porphyromonas_gingivalis_W83	0
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_akari_str._Hartford	2
Rickettsia_conorii	0
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	1
Rickettsia_prowazekii_str._Breinl	2
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	6
Salmonella_enterica_subsp._diarizonae_serovar_48:i:z	1
Salmonella_enterica_subsp._enterica	8
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	2
Salmonella_enterica_subsp._enterica_serovar_Infantis	1
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str._1655	1
Salmonella_enterica_subsp._houtenae_str._ATCC_BAA-1581	1
Salmonella_enterica_subsp._salamae	1
Salmonella_enterica_subsp._salamae_serovar_55:k:z39_str._1315K	1
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	11
Staphylococcus_aureus_subsp._aureus_ST398	1
Staphylococcus_cohnii	0
Staphylococcus_epidermidis	116
Staphylococcus_epidermidis_ATCC_12228	2
Staphylococcus_epidermidis_PM221	2
Staphylococcus_equorum	1
Staphylococcus_hominis	29
Staphylococcus_hominis_subsp._hominis	32
Staphylococcus_nepalensis	0
Staphylococcus_saprophyticus	4
Staphylococcus_simulans	2
Staphylococcus_succinus	1
Streptococcus_agalactiae	0
Streptococcus_anginosus	0
Streptococcus_canis	1
Streptococcus_cristatus	0
Streptococcus_cristatus_AS_1.3089	1
Streptococcus_cristatus_ATCC_51100	3
Streptococcus_dysgalactiae	1
Streptococcus_equi	0
Streptococcus_equi_subsp._zooepidemicus	1
Streptococcus_equi_subsp._zooepidemicus_CY	1
Streptococcus_gallolyticus	2
Streptococcus_gallolyticus_UCN34	2
Streptococcus_gordonii	2
Streptococcus_gordonii_str._Challis_substr._CH1	0
Streptococcus_intermedius	0
