Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	1
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	0
Aspergillus_fumigatus	0
Bartonella_bacilliformis	6
Bartonella_henselae	0
Bartonella_quintana	1
Blastomyces_dermatitidis	0
Bordetella_bronchialis	23
Bordetella_bronchiseptica	10
Bordetella_genomosp._13	49
Bordetella_pertussis	3
Bordetella_pertussis_137	3
Bordetella_pertussis_18323	1
Bordetella_petrii	25
Bordetella_trematum	10
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	0
Burkholderia_cepacia	1146
Burkholderia_cepacia_ATCC_25416	507
Burkholderia_cepacia_JBK9	515
Burkholderia_gladioli	2007
Burkholderia_gladioli_BSR3	392
Burkholderia_gladioli_pv._gladioli	1393
Burkholderia_mallei	20
Burkholderia_mallei_NCTC_10229	2
Burkholderia_mallei_NCTC_10247	8
Burkholderia_multivorans	2576
Burkholderia_multivorans_ATCC_17616	829
Burkholderia_multivorans_ATCC_BAA-247	824
Burkholderia_pseudomallei	814
Burkholderia_pseudomallei_1106b	18
Burkholderia_pseudomallei_1710a	5
Burkholderia_pseudomallei_1710b	5
Burkholderia_pseudomallei_7894	35
Burkholderia_pseudomallei_B03	28
Burkholderia_pseudomallei_MSHR1153	35
Burkholderia_pseudomallei_MSHR2543	18
Burkholderia_pseudomallei_MSHR346	32
Burkholderia_pseudomallei_MSHR435	21
Burkholderia_pseudomallei_NCTC_13179	26
Burkholderia_pseudomallei_Pasteur_52237	4
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	0
Campylobacter_showae	0
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	3
Corynebacterium_bovis	0
Corynebacterium_crudilactis	1
Corynebacterium_diphtheriae	4
Corynebacterium_diphtheriae_NCTC_13129	1
Corynebacterium_jeikeium	10
Corynebacterium_jeikeium_K411	6
Corynebacterium_kroppenstedtii	2
Corynebacterium_kroppenstedtii_DSM_44385	7
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	8
Corynebacterium_matruchotii	0
Corynebacterium_minutissimum	5
Corynebacterium_pseudotuberculosis	0
Corynebacterium_renale	0
Corynebacterium_segmentosum	11
Corynebacterium_sphenisci	0
Corynebacterium_stationis	0
Corynebacterium_striatum	12
Corynebacterium_urealyticum	4
Corynebacterium_ureicelerivorans	30
Corynebacterium_xerosis	0
Cowpox_virus	0
Coxiella_burnetii	4
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	1
Enterococcus_casseliflavus	0
Enterococcus_cecorum	6
Enterococcus_durans	0
Enterococcus_faecalis	4
Enterococcus_faecium	3
Enterococcus_hirae	0
Enterococcus_hirae_ATCC_9790	1
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erysipelothrix_rhusiopathiae_str._Fujisawa	1
Erythroparvovirus	0
Escherichia_coli	13
Escherichia_coli_042	1
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	0
Fusobacterium_hwasookii_ChDC_F206	1
Fusobacterium_necrophorum_subsp._funduliforme	2
Fusobacterium_nucleatum	0
Fusobacterium_nucleatum_subsp._animalis	1
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_23726	1
Fusobacterium_pseudoperiodonticum	2
Goatpox_virus	0
Haemophilus_influenzae	2
Helicobacter_cinaedi	1
Helicobacter_pylori	1
Helicobacter_pylori_J166	2
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	0
Klebsiella_michiganensis	2
Klebsiella_michiganensis_KCTC_1686	1
Klebsiella_oxytoca	2
Klebsiella_pneumoniae	9
Klebsiella_pneumoniae_subsp._pneumoniae	2
Klebsiella_pneumoniae_subsp._pneumoniae_PittNDM01	5
Klebsiella_pneumoniae_subsp._rhinoscleromatis	1
Legionella_anisa	11
Legionella_lansingensis	1
Legionella_pneumophila	8
Legionella_pneumophila_str._Corby	2
Legionella_pneumophila_subsp._fraseri	9
Legionella_pneumophila_subsp._pascullei	5
Legionella_pneumophila_subsp._pneumophila	8
Leptospira_alexanderi	0
Leptospira_alstonii	0
Leptospira_biflexa	0
Leptospira_biflexa_serovar_Patoc	2
Leptospira_borgpetersenii	0
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	1
Leptospira_interrogans_serovar_Bataviae	1
Leptospira_kirschneri	0
Leptospira_kmetyi	0
Leptospira_licerasiae	0
Leptospira_noguchii	4
Leptospira_santarosai	3
Leptospira_weilii	0
Leptospira_wolffii	0
Listeria_monocytogenes	0
Lumpy_skin_disease_virus	0
Lymphocryptovirus	0
Mannheimia_haemolytica	3
Measles_morbillivirus	0
Methanobrevibacter_oralis	0
Moraxella_catarrhalis	1
Moraxella_catarrhalis_BBH18	1
Morbillivirus	0
Mycobacterium_avium	15
Mycobacterium_avium_subsp._hominissuis	4
Mycobacterium_avium_subsp._paratuberculosis	4
Mycobacterium_canettii	1
Mycobacterium_colombiense	0
Mycobacterium_colombiense_CECT_3035	1
Mycobacterium_intracellulare	6
Mycobacterium_kansasii	3
Mycobacterium_leprae	0
Mycobacterium_marseillense	5
Mycobacterium_sp._JS623	8
Mycobacterium_sp._YC-RL4	9
Mycobacterium_tuberculosis	3
Mycobacterium_tuberculosis_complex	0
Mycobacterium_tuberculosis_variant_africanum	0
Mycobacterium_tuberculosis_variant_bovis	0
Mycobacteroides_abscessus	2
Mycobacteroides_abscessus_subsp._bolletii	1
Mycobacteroides_abscessus_subsp._massiliense	1
Mycobacteroides_abscessus_subsp._massiliense_CCUG_48898_=_JCM_15300	2
Mycoplasma_haemocanis	0
Mycoplasma_haemofelis	0
Mycoplasma_mycoides	0
Mycoplasma_ovipneumoniae	0
Mycoplasma_pneumoniae	0
Neisseria_elongata	0
Neisseria_elongata_subsp._glycolytica	6
Neisseria_gonorrhoeae	1
Neisseria_meningitidis	3
Neisseria_meningitidis_LNP21362	1
Neisseria_meningitidis_M01-240355	1
Neisseria_mucosa	5
Neisseria_sicca	2
Neisseria_subflava	1
Neisseria_weaveri	5
Orthohepadnavirus	0
Orthopoxvirus	0
Paraavulavirus	0
Parvimonas_micra	0
Pasteurella_multocida	2
Pasteurella_multocida_subsp._gallicida	1
Pasteurella_multocida_subsp._multocida	1
Pasteurella_multocida_subsp._multocida_OH4807	1
Peptostreptococcus_anaerobius	0
Polyomaviridae	0
Porphyromonas_gingivalis	2
Porphyromonas_gingivalis_A7A1-28	1
Porphyromonas_gingivalis_ATCC_33277	1
Porphyromonas_gingivalis_TDC60	1
Porphyromonas_gingivalis_W83	0
Rickettsia_africae	0
Rickettsia_akari	0
Rickettsia_akari_str._Hartford	1
Rickettsia_conorii	0
Rickettsia_felis	0
Rickettsia_japonica	0
Rickettsia_prowazekii	0
Rickettsia_rickettsii	0
Rickettsia_sibirica	0
Rickettsia_typhi	0
Salmonella_enterica	1
Salmonella_enterica_subsp._diarizonae_serovar_61:k:1,5,(7)	1
Salmonella_enterica_subsp._enterica	5
Salmonella_enterica_subsp._enterica_serovar_Choleraesuis	1
Salmonella_enterica_subsp._enterica_serovar_Ouakam	2
Salmonella_enterica_subsp._enterica_serovar_Pullorum_str._ATCC_9120	3
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0
Salmonella_enterica_subsp._enterica_serovar_Weltevreden	1
Sheeppox_virus	0
Shigella_boydii	0
Shigella_dysenteriae	0
Shigella_flexneri	0
Shigella_sonnei	0
Simian_virus_12	0
Staphylococcus_aureus	74
Staphylococcus_aureus_RF122	1
Staphylococcus_aureus_subsp._aureus_6850	2
Staphylococcus_aureus_subsp._aureus_LGA251	2
Staphylococcus_cohnii	134
Staphylococcus_epidermidis	1647
Staphylococcus_epidermidis_ATCC_12228	42
Staphylococcus_epidermidis_PM221	44
Staphylococcus_equorum	10
Staphylococcus_hominis	486
Staphylococcus_hominis_subsp._hominis	803
Staphylococcus_nepalensis	1
Staphylococcus_saprophyticus	107
Staphylococcus_simulans	10
Staphylococcus_succinus	1
Streptococcus_agalactiae	0
Streptococcus_anginosus	0
Streptococcus_canis	0
Streptococcus_cristatus	1
Streptococcus_cristatus_AS_1.3089	3
Streptococcus_cristatus_ATCC_51100	6
Streptococcus_dysgalactiae	0
Streptococcus_equi	0
