Node	NumberOfAssignedReads
Actinobacillus_equuli	8
Actinobacillus_pleuropneumoniae	5
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	2
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	1
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	0
Aspergillus_fumigatus	0
Bartonella_bacilliformis	2
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	22
Bordetella_bronchiseptica	16
Bordetella_genomosp._13	27
Bordetella_pertussis	7
Bordetella_pertussis_137	2
Bordetella_petrii	13
Bordetella_trematum	23
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	1
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	1
Burkholderia_cepacia	25
Burkholderia_cepacia_ATCC_25416	7
Burkholderia_cepacia_JBK9	9
Burkholderia_gladioli	42
Burkholderia_gladioli_BSR3	9
Burkholderia_gladioli_pv._gladioli	51
Burkholderia_mallei	0
Burkholderia_multivorans	56
Burkholderia_multivorans_ATCC_17616	10
Burkholderia_multivorans_ATCC_BAA-247	16
Burkholderia_pseudomallei	23
Burkholderia_pseudomallei_1106b	1
Burkholderia_pseudomallei_1710a	2
Burkholderia_pseudomallei_B03	3
Burkholderia_pseudomallei_MSHR1153	3
Burkholderia_pseudomallei_MSHR2543	1
Burkholderia_pseudomallei_MSHR346	1
Burkholderia_pseudomallei_MSHR435	1
Burkholderia_pseudomallei_NCTC_13179	13
Campylobacter_coli	2
Campylobacter_fetus	0
Campylobacter_gracilis	3
Campylobacter_showae	1
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	1
Chlamydia_suis	1
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	1
Corynebacterium_bovis	7
Corynebacterium_crudilactis	1
Corynebacterium_diphtheriae	1
Corynebacterium_jeikeium	8
Corynebacterium_jeikeium_K411	4
Corynebacterium_kroppenstedtii	3
Corynebacterium_kroppenstedtii_DSM_44385	1
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	7
Corynebacterium_matruchotii	1
Corynebacterium_minutissimum	3
Corynebacterium_pseudotuberculosis	0
Corynebacterium_pseudotuberculosis_Cp162	2
Corynebacterium_renale	2
Corynebacterium_segmentosum	1
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	18
Corynebacterium_stationis	0
Corynebacterium_striatum	4
Corynebacterium_urealyticum	4
Corynebacterium_ureicelerivorans	4
Corynebacterium_xerosis	5
Cowpox_virus	0
Coxiella_burnetii	3
Coxiella_burnetii_Dugway_5J108-111	2
Coxiella_burnetii_str._Schperling	1
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	0
Enterococcus_cecorum	0
Enterococcus_durans	0
Enterococcus_faecalis	3
Enterococcus_faecium	0
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	1
Enterococcus_hirae	0
Enterococcus_hirae_ATCC_9790	1
